Req ID,Domain,Target surface (amended IA),Requirement (improved ask),Why it matters (stakeholder intent),Source,Ask evolution (AGL amendment),Acceptance criteria,Status (code-verified),What exists today (evidence),Gap to close,Data dependency,Build phase,Priority,Effort
GOAL-06,Planning,Goals,"Retirement target varies by location: retire in US ($3.1M) vs India ($1.4M) vs split ($2.2M) side by side","Where you retire changes the number by 2x+ - the decision IS the location","Walkthrough p15","-","Three location targets compared",Missing,"Single retirement target synced with Analyzer; AI plan endpoint is location-agnostic","Location-based COL modeling + comparison UI","COL assumptions per location",3-Moat,P2,M
GOAL-07,Planning,Goals -> Plan engine,"'Plan' items (move to India, retire) modeled as goal types feeding the scenario engine","AGL: 'isn't plan just a type of goal?' - one mental model, one entry point","AGL review","AGL amendment (merges Plan entry into Goals)","Relocation goal type exists and spawns scenario",Partial,"'Retirement' category feeds Analyzer projection (target read/written both ways, analyzer/page.tsx:227-247); cost goals become projection outflows; no scenario concept in src","No move-to-India goal type; no scenario engine to feed","PLAN engine",3-Moat,P2,M
GOAL-08,Planning,Goals,"'Prepare legacy' as a goal type with guided steps","AGL: legacy = 'a specific type of goal with various types of guidance'","AGL review","AGL amendment (merges Legacy entry into Goals)","Legacy goal type with checklist steps",Missing,"Categories are retirement/education/property/travel/emergency/other (goals.ts:26-33); no legacy category; no guided steps for any goal","New category + guided checklist content","LEG decision (LEG-05)",3-Moat,P2,S
GOAL-09,Planning,Goals -> Plan,"Goal -> Plan handoff when a goal needs a timing/decision","'If a goal needs a decision, it hands off to Plan'","Walkthrough p16","-","Decision-needing goals link into scenario view",Divergent,"No Plan surface; instead retirement goal is bidirectionally shared with Analyzer with View-goal/Adjust-budget cross-links (analyzer/page.tsx:230-247, 868, 888) - only retirement, and retire-age changes don't write back to targetYear","Generalized handoff once PLAN exists; fix targetYear write-back","PLAN engine",3-Moat,P2,S
GOAL-10,Planning,Goals,"Debt-payoff goal type ('clear the Bangalore home loan by 2028 - Rs 32L of Rs 60L repaid')","Paying off the India loan IS a top-3 NRI goal","Walkthrough p15","-","Loan linkable to goal; progress = repaid share",Missing,"No debt category; scaffolding exists (liability types, minPayment in proposals) but linking a loan today would SUBTRACT its balance from funded amount","Debt category + repayment-progress semantics (start-balance vs current)","None",2-State,P2,S
PLAN-01,Planning,Plan (new page),"Movable return-date slider (2026-2040); consequence cards update live","'A date you can move, and what changes when you do'","Walkthrough p17-18","AGL: entry may live in Goals; the engine is still required","Slider drives all consequence cards",Missing,"No return-date control anywhere; analyzer retire-age slider answers a different question","Entire scenario surface","TAX-01",3-Moat,P2,L
PLAN-02,Planning,Plan,"RNOR window computed from chosen date (start, length, what's taxable when)","The window is where the money decisions live","Walkthrough p17","-","Window dates + taxability computed",Missing,"Zero RNOR references in src","RNOR rules engine on top of TAX-01","TAX-01",3-Moat,P2,M
PLAN-03,Planning,Plan,"Windows timeline: every open/closing window (India cleanup, RNOR years, Roth conversion years) on one line","'The biggest cross-border decisions are timing decisions, and nobody models them'","Walkthrough p17-18","-","One timeline of all windows",Missing,"No windows/timeline UI; DEADLINES mock is unrendered and models filing deadlines, not opportunity windows","Timeline UI + window derivation rules","PLAN-01/02, TAX-01",3-Moat,P2,M
PLAN-04,Planning,Plan -> Open items,"Save scenario -> its actions become tracked open items","Scenarios must produce work, or they're toys","Walkthrough p18","-","Saved scenario spawns OI tasks",Missing,"No scenario concept, no save, no task model (prisma has neither)","Scenario persistence + OI task generation","OI-01 model",3-Moat,P2,M
PLAN-05,Planning,Plan/Analyzer,"Drawdown modeling across TWO tax systems; conversion & timing windows; what-if engine underneath","Retirement math changes materially with the border","Capabilities p7","-","Projection differs by residency/tax scenario",Partial,"Real single-system what-if engine in Analyzer: accumulation + step-up + 4% drawdown to 90, shortfall detection, goal outflows, live chart (analyzer/page.tsx:185-222, 927-933)","Zero tax modeling (neither system); no Roth/timing windows; USD-only","TAX-01 + tax rules",3-Moat,P2,L
PLAN-06,Planning,Plan,"Relocation modeling: cost/tax/cash implications of the move itself","The move is the biggest single financial event","Capabilities p7","-","Move-event costs modeled in scenario",Missing,"Nothing models the move (grep confirms)","Relocation cost/tax model inside scenarios","PLAN-01",3-Moat,P2,M
LEG-01,Estate,Legacy,"Who-owns-what table: asset, in whose name, what-happens-if-died-today (Beneficiary set / Succession case / No nominee)","'This work is trivial now and brutal later'","Walkthrough p19-20","AGL: enter via 'prepare legacy' goal; validate importance first","Table renders from ownership data",Missing,"No ownership/nominee/beneficiary concept anywhere - models, types, UI all absent (grep: zero hits)","Entire feature; prerequisite ACC-10 ownership fields","ACC-10",3-Moat,P2,M
LEG-02,Estate,Legacy,"Coverage tracker: US will, India will, POA per country, nominees N of M accounts","The gap list IS the to-do list","Walkthrough p19","-","Coverage board with per-country status",Missing,"No will/POA/nominee tracking in code or schema","Data model + tracker UI","None",3-Moat,P2,S
LEG-03,Estate,Legacy,"Heir-burden narrative: succession certificate (~1 year), US reporting obligations heirs inherit","Makes the abstract risk visceral","Walkthrough p19-20","-","Narrative generated from actual holdings/ownership",Missing,"No succession/heir/inherit content anywhere incl. copilot prompt","Narrative generation from LEG-01 data","LEG-01",3-Moat,P2,S
LEG-04,Estate,Legacy,"Handover pack: ONE generated document the family can open and follow; last-generated date shown","'The output is a document, not a dashboard'","Walkthrough p19-20","-","PDF/doc generates; date stamps",Missing,"No document/PDF/export generation code anywhere in src","Content assembly + doc generation","LEG-01/02 data",3-Moat,P2,M
LEG-05,Estate,-,"DECISION: validate Legacy demand before deep build ('complicated and almost an app in itself'); start as guided goal type","AGL wants evidence before the investment","AGL review","AGL scoping guardrail","User research / demand signal collected",Decision,"-","Decide scope: goal-type-only (GOAL-08) vs full surface","-",3-Moat,P2,-
LEG-06,Estate,Legacy,"Inheritance flows & reporting; capacity planning & access","Cross-border inheritance carries reporting both directions","Capabilities p7","-","Flows modeled; access plan exists",Missing,"'Capacity' appears only as savings capacity; 'access' only as Plaid tokens","Post-validation build","LEG-05 decision",3-Moat,P2,L
OI-01,Execution,Open items (new page),"Open Items page: every finding from every page lands here, each naming the page that found it","'A finding that is not tracked gets forgotten. This is where the loop closes' - AGL: 'good page'","Walkthrough p21-22; AGL endorses","-","All findings flow in with source attribution",Partial,"Only aggregation is Home 'Needs attention' (top-3, real AI + fallback pipeline); findings from Accounts/Analyzer/Goals never collected; no source attribution; no page","Task/finding model (DB) + page + ingestion from all surfaces; THE missing loop piece","F-01 (persistence)",1-Spine,P1,L
OI-02,Execution,Open items,"In-progress items: step N of M, concrete next action ('send the signed FEMA declaration'), blocking relations ('blocks FBAR prep')","Multi-step cross-border fixes span weeks; state must persist","Walkthrough p21","-","Items carry steps + next action + blockers",Missing,"Insight shape is {key,level,title,detail,meta} - no status/lifecycle (api/insights/route.ts:30-36); meta string is the only next-step-ish text","Step model + lifecycle + blocking graph","OI-01",3-Moat,P2,M
OI-03,Execution,Open items,"Not-started items show cost of inaction ('28% of wealth' / 'saves ~Rs 41,000')","Cost framing is what converts intention to action","Walkthrough p21","-","Each item carries impact figure",Missing,"Only rupee-savings figure lives in dead mock COPILOT_ANSWERS (imported nowhere); NRO TDS saving IS computed on Accounts but not attached to a task","Impact computation per finding (some math exists: tdsSavingInr)","OI-01",3-Moat,P2,S
OI-04,Execution,Open items,"Closed-recently section","Proof of progress is the retention reward","Walkthrough p22","-","Closed items visible with dates",Missing,"No closed/resolved state exists for any finding","Close action + timestamps + section","OI-01",3-Moat,P2,S
OI-05,Execution,Cross-page loop,"The loop: closing an item updates Accounts and clears the Home alert automatically","'The alert clears itself once the work is done' - nothing quietly disappears","Walkthrough p22-24","-","Fix data -> alert gone without manual refresh",Missing,"No close action; AI insights cached in localStorage, regenerate only on manual Refresh (page.tsx:84-132); only rule-based fallback recomputes live","Item lifecycle + auto-invalidation of insight cache on data change","OI-01",1-Spine,P1,M
OI-06,Execution,Open items,"ONE canonical site for alerts & recommendations, separate from factual summaries","AGL: standardize where suggestions live","AGL review","Same as PERF-06 - converged","All suggestion surfaces feed one site",Partial,"Needs-attention card is a single feed with an explicit no-reassurance prompt rule (route.ts:88,93); but it's embedded in dashboard and recommendations still scatter (KPI chips, analyzer teaser, accounts rail)","Consolidation once OI-01 exists","OI-01",1-Spine,P1,S
EXEC-01,Execution,Open items / guided flows,"Guided multi-step fixes (resident-savings -> NRO conversion: 4 steps incl. FEMA declaration)","'Here's the four-step fix - and what it costs to leave it another year'","Capabilities p8; Walkthrough p21","-","At least one guided flow shippable end-to-end",Missing,"FEMA only in dead mock; copilot proposal protocol covers data CRUD only (copilot-actions.ts:49-56), not remediation workflows - can only describe steps in prose","Guided-flow UI + step state; NRO conversion is the flagship candidate","OI-01/02",3-Moat,P2,M
EXEC-02,Execution,Guided flows,"Form preparation + professional handoff packets","When guidance ends, hand off cleanly","Capabilities p8","-","Prefilled form/packet exports",Missing,"Nothing generative; copilot names forms in prose and defers to 'a cross-border CPA'","Form templates + packet assembly + export","TAX boards",3-Moat,P2,M
EXEC-03,Execution,Notifications,"Proactive nudges when a tax/planning window opens","Windows expire; the platform must tap the shoulder","Capabilities p8","-","Nudge fires on window open",Missing,"No trigger/notification mechanism; DEADLINES mock unrendered; residency KPI mock","Scheduler + channel + window rules","TAX-01, PLAN windows",3-Moat,P2,M
EXEC-04,Execution,Open items,"Data pulls & document requests tracked as tasks","Data collection is itself work worth tracking","Capabilities p8","-","Re-sync/statement-fetch tasks exist",Partial,"DataCompletion tracks one-time setup items as done/not-done with progress ring (DataCompletion.tsx:68-101); Plaid pulls real","No ongoing tasks (re-sync, CAS refresh) and no document-request tracking; pdf_upload never used","OI-01, ACC-09",3-Moat,P2,S
COP-01,Copilot,Every page,"Copilot is a LAYER on every page (floating icon / embedded panel), not only a destination tab","'Present on every page, not a tab'","Capabilities p3, p8; AGL review","AGL concretizes: lower-right floating icon + suggested queries","Copilot reachable in-context from any page",Partial,"Destination page + ONE embedded panel (AiAddPanel on Accounts, reusing same stream+proposal pipeline); other pages only link out; no floating icon in shell (AppGate.tsx:32-48)","Global floating panel; pipeline already built - this is packaging, not engine work","None",1-Spine,P1,M
COP-02,Copilot,Copilot,"Grounded Q&A strictly on the user's own data - never generic","'Scoped to your data, never generic' - the trust contract","Capabilities p8","-","Answers cite user's actual numbers; server-verified data",Partial,"Grounding genuinely implemented: system prompt embeds holdings/net worth/FBAR/PFIC/budget/goals with reference-real-numbers guidelines (api/copilot/route.ts:52-167); streaming Claude, auth-gated","Grounding source is mock-seeded client state posted by the browser - not DB records scoped to the authenticated user; fresh users chat about the demo portfolio","F-01",1-Spine,P0,M
COP-03,Copilot,Everywhere,"Proactive detection: surfaces issues unprompted, re-detecting as data changes","'Proactive detection, not just answers'","Capabilities p8","-","New data -> new findings without user asking",Partial,"Auto-triage on first load: /api/insights Claude pass over live portfolio + instant rule-based fallback (page.tsx:113-132)","Runs once then cached until manual Refresh; dashboard-only; doesn't re-detect on data change","OI-05 invalidation",2-State,P2,S
COP-04,Copilot,Everywhere,"Plain-language explanation of every finding","Educate-not-advise positioning depends on explainability","Capabilities p8","-","Every finding readable by a non-expert",Built,"Insights constrained to short plain-English title/detail/meta with real numbers (api/insights/route.ts:87-94); copilot prompt mandates plain-English FBAR/PFIC/NRE-NRO/DTAA explanations; Rich markdown renderer","-","None",1-Spine,Done,-
TD-01,Trust & data,Every surface,"Provenance on every data point: where it came from AND when","Trust base layer for a mixed live/manual book","Capabilities p3","-","Source + timestamp visible wherever a number renders",Partial,"Source badges on account rows (Plaid/Setu/PDF; manual unbadged); lastSyncedAt schema-only never rendered; 'Synced just now' chip is fake hardcoded text (page.tsx:162-165)","Surface real timestamps (ACC-02); kill the fake chip; extend provenance beyond Accounts page","ACC-02",1-Spine,P1,S
TD-02,Trust & data,Settings/household,"Permissions & household access: spouse/family/heirs granted views","Wealth is a household object; heirs need access before the crisis","Capabilities p3","-","Invite + role-scoped viewing works",Missing,"Strictly single-user: auth scopes to one Clerk userId (auth.ts:17-21); no household/member/grant models; not even scaffolding","Full multi-user model + invites + roles","F-01",3-Moat,P2,L
TD-03,Trust & data,Home/Accounts,"Data-confidence indicator: how much of net worth is fresh vs estimated","One number that says 'how much should I trust this screen'","Capabilities p3-4","-","% of net worth by freshness tier",Missing,"Nothing computes confidence; DataCompletion is setup progress, not data confidence; groundwork (lastSyncedAt, BalanceSnapshot, source flags) never aggregated","Aggregate source+age into confidence view","ACC-02",2-State,P1,S
JRNY-01,Journeys,Cross-page,"First session: Home -> Accounts -> connect -> India setup -> FIRST FINDING -> lands in Open items. 'Activation is the finding, not the balance'","The activation metric is a finding within session one","Walkthrough p23","-","New user reaches a real finding + tracked item in one session",Partial,"Spine exists: onboarding -> checklist -> real Plaid connect; findings exist as passive cards","India setup is 'Coming soon' (manual only); nothing surfaces a finding at connect time (onSuccess just appends accounts); no Open items; mock seed means findings pre-exist connection - activation moment is broken","ACC-09, OI-01, F-01",1-Spine,P1,M
JRNY-02,Journeys,Cross-page,"Weekly: Home -> Cash flow; rate + transfer check in 90 seconds","The habit loop that makes it weekly-active","Walkthrough p23","AGL: the check is LRS/options guidance, not rate-vs-average","90-second path exists and is real",Partial,"Only fragment: sidebar USD/INR ticker with 'live' badge - but rate is hardcoded FX_RATE=95 ('Hardcoded for Phase 1', CurrencyContext.tsx:21); FxRate model never read; Budget is envelope budgeting, not cash flow","No Cash flow page in nav; no transfer tooling; fake 'live' rate","CF-01, CF-03, F-02",2-State,P1,M
JRNY-03,Journeys,Cross-page,"Tax season: Home alert -> Tax -> PFIC detail -> Open items -> Accounts updates -> alert clears itself","The self-clearing alert is the trust moment","Walkthrough p23","-","Full path walkable; alert auto-clears on fix",Partial,"Home alert real (FBAR/PFIC/FATCA from live holdings); PFIC badges + 8621 insight on Accounts; accounts editable","No Tax page (nav placeholders dead); no Open items; alert does NOT self-clear (cached until manual Refresh)","TAX-03/04, OI-01/05",1-Spine,P1,M
JRNY-04,Journeys,Cross-page,"Life event: Goals -> Plan -> windows created -> Open items -> Legacy","'When saving more cannot answer the question'","Walkthrough p23","-","Path exists end to end",Partial,"Goals fully built; a plan flow exists via Analyzer (AI retirement plan writes back into goal + budget); cost goals dip projection","No windows concept, no Open items, no Legacy at all; plan lives on Analyzer, not a Goals->Plan journey","PLAN, OI, LEG",3-Moat,P2,L
F-01,Foundation (derived),Data layer,"DERIVED: persist the ledger server-side per user (accounts, goals, budget in DB; not localStorage + mock seed)","Implicit in 'system of record' + every 'Live' cell of the data-support table; today a cleared browser erases the book and every fresh user gets the demo portfolio","Implied - Capabilities p9; Walkthrough p6","-","Fresh user starts empty; data survives devices; APIs read DB",Missing,"AccountsContext/GoalsContext/BudgetContext are localStorage seeded from mock; Prisma Account/Conversation models exist but unread; only PlaidItem actively used","Wire contexts to DB APIs; add Goal model; migrate seed to opt-in demo mode","None",1-Spine,P0,L
F-02,Foundation (derived),Currency engine,"DERIVED: live FX rate + rate HISTORY (12-mo series)","Prerequisite for currency consistency (HOME-02), FX attribution (PERF-01/HOME-10), goal currency (GOAL-02); today rate is a hardcoded 95 with a fake 'live' badge","Implied - Walkthrough p7, p11","-","Rate fetched live; daily history stored; badge honest",Missing,"FX_RATE=95 constant ('Hardcoded for Phase 1', CurrencyContext.tsx:21); FxRate table seeded once (83.5) and never read; sidebar shows 'live' pulse anyway","Rate fetch job + history table + context wiring; remove fake badge until real","External FX API",1-Spine,P0,S
F-03,Foundation (derived),Data layer,"DERIVED: balance snapshots (daily/periodic) per account","Prerequisite for real trends (HOME-01), FBAR true peak (TAX-03), return decomposition (PERF-01/02/08)","Implied - Capabilities p9; schema comment","-","Snapshots recorded; trend + peak computed from them",Missing,"BalanceSnapshot model exists with FBAR-peak comment (schema.prisma:39-49) - zero reads/writes; trend chart is mock; FBAR peak faked as current x 1.04","Snapshot write job + consumers (trend, peak, returns)","F-01, ACC-08 sync",1-Spine,P0,M
X-01,EXTRA (not in PDFs),Analyzer,"Allocation recommendation engine: age glide-path (~115-age) + 5-step risk dial + interactive drag sliders + target-vs-current donut + risk-vs-age feedback","Beyond spec: PDFs ask for an allocation VIEW (PERF-04), not a recommendation engine - this is a differentiator","Not in PDFs","Closest: PERF-04","-",Built (extra),"src/app/(app)/analyzer/page.tsx + src/lib/allocation.ts","Keep - candidate to formalize into spec as 'Analysis page' home (AGL asked for one for DEBT-03/04)","-",-,Keep,-
X-02,EXTRA (not in PDFs),Analyzer,"Retirement projection engine: accumulation + step-up + 4% drawdown to 90, shortfall detection, goal-cost dips, on-track reconciliation","Beyond spec: nearest ask is PLAN-05 (two-tax-system drawdown) - this is the single-ledger no-tax version","Not in PDFs","Closest: PLAN-05 (Partial credit given there)","-",Built (extra),"analyzer/page.tsx:185-222 'Projected growth' card","Keep - evolve INTO PLAN-05 by adding tax/residency dimensions rather than building parallel","-",-,Keep,-
X-03,EXTRA (not in PDFs),Analyzer,"AI natural-language retirement planner: free text -> retire age, target, return, step-up; solves monthly contribution and writes it into budget","Beyond spec AI UX","Not in PDFs","-","-",Built (extra),"analyzer/page.tsx (runRetirePlan) + api/retirement/plan/route.ts","Keep","-",-,Keep,-
X-04,EXTRA (not in PDFs),Goals,"AI goal-creation assistant: free text -> structured goal (name, category, target, year, kind, rationale)","Beyond-spec implementation of GOAL-01's 'suggested amounts'","Not in PDFs","Closest: GOAL-01","-",Built (extra),"goals/page.tsx (runSuggest) + api/goals/suggest/route.ts","Keep - counts toward GOAL-01","-",-,Keep,-
X-05,EXTRA (not in PDFs),Budget,"Budget page: envelope budgeter with colored categories, share-of-income bars, invest-tagged 'forecast' lines feeding projections","Different mechanic than CF-01's cash-flow view - decide whether Budget evolves into Cash flow or coexists","Not in PDFs","Closest: CF-01/CF-05","-",Built (extra),"budget/page.tsx + BudgetContext.tsx","DECIDE: evolve into the Cash flow page (add both-sides itemization) vs keep as separate envelope tool","-",-,Decide,-
X-06,EXTRA (not in PDFs),Copilot,"Proposal system: [[PROPOSALS]] sentinel -> editable accept/edit/discard cards for 7 mutation types (accounts, goals, income, categories)","An AI write-path with human review - not asked for anywhere; strong differentiator and the engine for future EXEC flows","Not in PDFs","Closest: EXEC-01 (could power guided fixes)","-",Built (extra),"copilot-actions.ts + ProposalCard.tsx + copilot/page.tsx + api/copilot/route.ts","Keep - formalize as the execution substrate","-",-,Keep,-
X-07,EXTRA (not in PDFs),Accounts,"'Add with AI' inline panel: describe an account in words, Claude drafts it via proposal pipeline","Beyond ACC-09's ingestion ladder","Not in PDFs","Closest: ACC-09","-",Built (extra),"AiAddPanel.tsx + useCopilotStream.ts","Keep","-",-,Keep,-
X-08,EXTRA (not in PDFs),Copilot,"Chat persistence + multi-chat history (localStorage), auto titles, ?q= handoff intake from other pages","Not asked for; Conversation DB model exists unused","Not in PDFs","-","-",Built (extra),"copilot/page.tsx","Keep; migrate to DB with F-01","-",-,Keep,-
X-09,EXTRA (not in PDFs),Home,"AI insight triage engine: Claude ranks up to 6 attention items server-side, cached with generated-on stamp, rule-based fallback","Beyond HOME-03's rule-ranked queue - AI layer is extra (deep links still missing)","Not in PDFs","Closest: HOME-03","-",Built (extra),"page.tsx (refreshInsights) + api/insights/route.ts","Keep - add hrefs to complete HOME-03","-",-,Keep,-
X-10,EXTRA (not in PDFs),Analyzer,"AI allocation explainer: streamed narrative of recommended split, biggest move with real dollars, emergency-fund check","AI coaching layer, no corresponding requirement","Not in PDFs","-","-",Built (extra),"analyzer AiExplainer + api/analyzer/route.ts","Keep","-",-,Keep,-
X-11,EXTRA (not in PDFs),Accounts,"Loan-to-asset equity linking: liabilities secured against assets, nested rows, computed equity subtotals, dangling-link cleanup","Beyond DEBT-01/02 - per-asset equity attribution not in spec","Not in PDFs","Closest: DEBT-02","-",Built (extra),"accounts/page.tsx + portfolio.ts (securedAgainstId, assetEquity)","Keep - differentiator","-",-,Keep,-
X-12,EXTRA (not in PDFs),Accounts,"Instrument-detail modeling: NRE/NRO FD scheme, FCNR currency (USD/GBP/EUR/CAD/AUD), SGB toggle, compounding, maturity, TDS %, APR, min payment","Instrument depth no PDF asks for - India-credibility differentiator","Not in PDFs","Closest: ACC-09 manual entry","-",Built (extra),"account-details.ts (detailSpec) + HoldingDetails portfolio.ts","Keep","-",-,Keep,-
X-13,EXTRA (not in PDFs),Engine,"Per-account expected-return engine: override -> contractual rate -> type default, balance-weighted rollup; feeds analyzer, copilot (1-10yr path), goals","Forward return modeling - PERF-* covers realized returns only","Not in PDFs","Closest: PERF-02 (different concept)","-",Built (extra),"allocation.ts (expectedReturn, portfolioExpectedReturn) + goals.ts (goalExpectedReturn)","Keep - reuse for DEBT-04 prepay-vs-invest","-",-,Keep,-
X-14,EXTRA (not in PDFs),Goals,"Goal cost-vs-investment kinds + monthly-savings annuity solver ('~$X/mo for N years' crediting compounding at funders' rates)","Neither taxonomy nor solver in GOAL-*","Not in PDFs","Closest: GOAL-05 (powers status chips)","-",Built (extra),"goals.ts (goalKind, goalMonthlyNeeded) + goals/page.tsx cards","Keep - use solver for GOAL-05 chips","-",-,Keep,-
X-15,EXTRA (not in PDFs),Accounts,"Notes Receivable / Notes Payable + Vehicle account types (personal lending both directions, with rate + due date)","Not in any PDF taxonomy","Not in PDFs","Closest: ACC-06 types","-",Built (extra),"types/accounts.ts + portfolio.ts TYPE_LABELS","Keep","-",-,Keep,-
X-16,EXTRA (not in PDFs),Shell,"Clerk auth + mandatory profile onboarding (name, DOB, country, visa/tax status, occupation) gating the app; age personalizes engines","PDFs never mention auth/identity - table stakes we built","Not in PDFs","Feeds TAX-01 (visa facts captured, unused!)","-",Built (extra),"AppGate.tsx + Onboarding.tsx + api/onboarding + ProfileContext.tsx","Keep - WIRE taxStatus into TAX-01","-",-,Keep,-
X-17,EXTRA (not in PDFs),Public,"Marketing landing page: product pitch, animated US-India beams, bank-logo marquee, embedded Clerk auth","Pure marketing surface","Not in PDFs","-","-",Built (extra),"LandingAuth.tsx + CrossBorderBeams.tsx + BankMarquee.tsx","Keep","-",-,Keep,-
X-18,EXTRA (not in PDFs),Public,"Privacy policy page (public route)","Legal surface","Not in PDFs","-","-",Built (extra),"src/app/privacy/page.tsx","Keep","-",-,Keep,-
X-19,EXTRA (not in PDFs),Security,"Plaid token AES-256-GCM envelope encryption at rest (FTC Safeguards) + disconnect that revokes at Plaid and purges locally (CCPA)","Security infrastructure beyond ACC-08","Not in PDFs","Closest: ACC-08","-",Built (extra),"crypto.ts + api/plaid/exchange-public-token + api/plaid/disconnect","Keep","-",-,Keep,-
X-20,EXTRA (not in PDFs),Dev,"Plaid sandbox test pages (/plaid, /plaid/oauth-callback)","Developer scaffolding","Not in PDFs","-","-",Dev scaffold,"src/app/(app)/plaid/*","Remove from prod nav or gate behind env","-",-,Cleanup,-
X-21,EXTRA (not in PDFs),Data layer,"Prisma groundwork - modeled but UNWIRED: BalanceSnapshot, FxRate, Conversation, ComplianceData (India peak, days, LRS), Account (UI bypasses it)","Scaffolding that maps 1:1 to F-01/F-02/F-03/CF-03 - wire it, don't rebuild it","Not in PDFs","Feeds F-01/F-02/F-03, CF-03, TAX-01","-",Groundwork (unwired),"prisma/schema.prisma + seed.ts; only PlaidItem actively used","Wire per the F-* rows","-",-,Wire up,-
X-22,EXTRA (not in PDFs),Data layer,"localStorage persistence + deterministic demo seed (8 accounts, 3 goals, 12-mo history, residency count) across all contexts","Demo architecture - the thing F-01 replaces; keep as explicit 'demo mode'","Not in PDFs","Conflicts with F-01/JRNY-01 activation","-",Demo architecture,"AccountsContext/GoalsContext/BudgetContext + data/mock/*","Convert to opt-in demo mode; fresh users must start empty","-",-,Migrate,-
X-23,EXTRA (not in PDFs),Shell,"Dark/light theme with pre-hydration flash guard","Polish","Not in PDFs","-","-",Built (extra),"ThemeContext.tsx + TopNav.tsx","Keep","-",-,Keep,-
X-24,EXTRA (not in PDFs),Shell,"Three-mode currency display (adds 'Normal INR' beyond AGL's two-state ask) + digit-animated Money figures app-wide","Superset of HOME-02's toggle","Not in PDFs","Closest: HOME-02","-",Built (extra),"CurrencyToggle.tsx + Money.tsx + currency.ts","Keep - finish the 11 broken call sites (HOME-02)","-",-,Keep,-
X-25,EXTRA (not in PDFs),Accounts,"NRO-to-NRE TDS savings optimizer: quantifies annual saving (~6% x 30% TDS) in Rs and $","Proactive quantified recommendation - no requirement matches; exemplar for OI-03 cost-of-inaction","Not in PDFs","Closest: TAX-04 / EXEC-01 / OI-03","-",Built (extra),"accounts/page.tsx:85-87, 278-288","Keep - attach to an Open Item with the saving as impact figure","-",-,Keep,-
X-26,EXTRA (not in PDFs),Home,"India allocation target (25%) + drift KPI with gauge and 'rebalance suggested' state","Geographic rebalancing target not in PERF-*/HOME-*","Not in PDFs","Closest: PERF-05/06","-",Built (extra),"page.tsx KPI row + TARGET_INDIA_PCT (mock constant)","Keep; make target user-settable","-",-,Keep,-
X-27,EXTRA (not in PDFs),Shell,"Global compliance-status pill in header (worst-of All clear / Action needed / Overdue)","Always-on alert surface; slight tension with OI-06 single-site principle","Not in PDFs","Tension with OI-06","-",Built (extra),"TopNav.tsx:28-64","Keep as summary indicator linking INTO the canonical site","-",-,Keep,-
X-28,EXTRA (not in PDFs),Shell,"Sidebar flourishes: collapse mode, persisted groups, AI badges, footer FX ticker with 'live' pulse","Ticker's 'live' label is false (rate hardcoded 95)","Not in PDFs","Closest: HOME-08","-",Built (extra),"Sidebar.tsx","Fix dishonest 'live' badge (F-02); remove dead Compliance/Deadlines placeholders or build pages","-",-,Fix,-
X-29,EXTRA (not in PDFs),Codebase,"Dead/unused exports: DEADLINES, COPILOT_SUGGESTIONS/ANSWERS/FALLBACK (pre-LLM fallback), useCountUp, projectValue","Dead code; DEADLINES content is a starting point for TAX-08 calendar","Not in PDFs","DEADLINES feeds TAX-08 content","-",Dead code,"data/mock/insights.ts + hooks/useCountUp.ts + allocation.ts","Delete or wire; don't let it imply features exist","-",-,Cleanup,-
